genre_name,genre_percentage,provider_name
Film,0.97864230976782,C More HD
Børn & Ungdom,1.0,Cartoon Network
Nyheder & Aktualitet,0.4548073378731861,NRK1
Reality,0.4555534970120058,RTL2
Dokumentar,0.48303777859234687,ARTE
Film,0.24585002804218892,ARTE
Dokumentar,0.5067408864482704,National Geographic Wild
Natur & Videnskab,0.4670611896273205,National Geographic Wild
Dokumentar,0.3591579649998624,National Geographic
Natur & Videnskab,0.19,National Geographic
Reality,0.5430329502391762,Discovery Channel
Børn & Ungdom,0.9676931087256078,Cartoonito
Dokumentar,0.36707337582315297,Kosmopol
Nyheder & Aktualitet,0.4741249917638014,Kosmopol
Nyheder & Aktualitet,0.24447139228628864,TV2
Sport,0.26064677963631505,TV2
Underholdning,0.23482323742057382,TV2
Nyheder & Aktualitet,0.844273320449288,CNN
Musik,1.0,MTV 90s
Børn & Ungdom,0.9974048453669306,Nick jr.
Nyheder & Aktualitet,0.9564610757672017,TV2 News
Nyheder & Aktualitet,0.20935909843012754,DR 1
Serier,0.2078842699040159,DR 1
Musik,1.0,MTV 80s
Dokumentar,0.9973381292048897,Viasat Explore
Dokumentar,0.45964783257219144,TV/Midtvest
Nyheder & Aktualitet,0.2449970192470048,TV/Midtvest
Serier,0.3048617993813029,TV2 Echo
Børn & Ungdom,0.9972566701744303,Disney Channel
Serier,0.2530733745974289,See
Sport,0.7162726941616901,See
Kultur & Historie,0.2565617271185145,TV 5 Monde Europe
Nyheder & Aktualitet,0.2614101599745609,TV 5 Monde Europe
Børn & Ungdom,0.8264867147513708,Cartoonito
Sport,0.9979897212913124,TV2 Sport
Nyheder & Aktualitet,0.8600188985957478,BBC News
Dokumentar,0.3218451495404115,TV2
Nyheder & Aktualitet,0.5563820765396378,TV2
Dokumentar,0.5318218379483167,BBC Nordic
Natur & Videnskab,0.2971141043364438,BBC Nordic
Reality,0.8606154869812134,TLC
Sport,0.9473852870894303,Sport Live
Dokumentar,0.2571500141238677,Discovery Science
Natur & Videnskab,0.5542829914400709,Discovery Science
Sport,0.99272998840135,Eurosport 2
Dokumentar,0.3293774483313454,TV SYD+
Nyheder & Aktualitet,0.28473770616441973,TV SYD+
Børn & Ungdom,0.9558019650061251,Disney Junior
Nyheder & Aktualitet,0.26636613160777817,Rai 1
Underholdning,0.26289394094830215,Rai 1
Film,0.2841456848332673,Kabel 1
Serier,0.49882187750286866,Kabel 1
Dokumentar,0.2402115278404295,VOX
Reality,0.20555993963573754,VOX
Serier,0.3291757587378638,VOX
Dokumentar,0.25817672556482774,DR 2
Sport,0.20889887428791545,DR 2
Serier,0.9945765382568735,V Series
Fritid & Livsstil,0.514017241534977,TV2 Fri
Børn & Ungdom,0.9995518874178873,Nickelodeon
Reality,0.22666338896712213,RTL HD
Kultur & Historie,0.9988934885159363,Viasat History
Serier,0.5692662545550645,TV2 Echo
Nyheder & Aktualitet,0.9951169051861243,DR Event 1
Natur & Videnskab,0.9828662391601954,Viasat Nature
Sport,0.9984340697644554,TV3 Sport
Serier,0.2695153357484218,NRK2
Natur & Videnskab,0.3230244959044258,Animal Planet
Dokumentar,0.458232999842548,Animal Planet
Sport,0.8532688569116489,TV3 Max
Sport,1.0,V sport golf
Film,0.22266727328857241,Sat1
Reality,0.25914912318480776,Sat1
Sport,0.4918876216160519,SVT1TEMP
Fritid & Livsstil,0.9892520933934932,DK4
Film,0.3112619277411742,Das Erste HD
Serier,0.21535545249592566,Das Erste HD
Film,0.9974007777164534,V Film Family
Film,0.4535951881549894,Kanal 4
Reality,0.22793512784503153,Kanal 4
Film,0.9851617216464931,C More HD
Film,0.24601613184967583,Kanal 5
Serier,0.2509994322462479,Kanal 5
Reality,0.9874594828427694,TV3
Fritid & Livsstil,0.9774646817769985,Canal 9
Fritid & Livsstil,0.20888356906457844,TV4 Sverige
Underholdning,0.9610926810686324,MTV
Sport,0.5014945330167826,6'eren
Humor & Satire,0.9952189554216063,BBC Nordic
Sport,0.8353700928235802,DR Event 3
Sport,0.9991641695395401,TV2 SportX
Sport,0.6485765551887516,TV3+
Sport,0.995945823893521,Eurosport 1
Dokumentar,0.23460504939226048,DR 2 Syn
Sport,0.29694701063916923,DR 2 Syn
Natur & Videnskab,0.2694877620810929,Ekstrakanalen
Reality,0.33288281429417566,Ekstrakanalen
Film,0.9987937408568801,V Film Hits
Film,0.23811922117094642,3Sat
Fritid & Livsstil,0.20722862731019653,3Sat
Dokumentar,0.5708574400698975,TV2/Nord Salto
Nyheder & Aktualitet,0.27339750707058574,TV2/Nord Salto
Film,1.0,V Film Action
Serier,0.9600539812113945,TV3 Puls
Dokumentar,0.40274503010974005,Ostjylland
Nyheder & Aktualitet,0.5438603641699188,Ostjylland
Serier,0.3873367211262636,ZDF
Kultur & Historie,0.28055286545073926,Syd
Nyheder & Aktualitet,0.5658990085740977,Syd
Film,0.9596967083931164,TV2 Norge
Sport,0.3604940489457628,SVT2TEMP
Dokumentar,0.8771240832558104,ID-Investigation Discovery
Børn & Ungdom,0.2327169327220057,SUPER RTL
Serier,0.33893516449452804,SUPER RTL
Dokumentar,0.28496353194983853,Midt/vest
Nyheder & Aktualitet,0.5319750967150813,Midt/vest
Film,1.0,V Film Premiere
Nyheder & Aktualitet,0.976396362634209,TV 2/Fyn
Nyheder & Aktualitet,0.9863656032424547,Folketinget
Film,0.23738638857846947,ProSieben
Serier,0.27837539057576494,ProSieben
Serier,0.9342417099221133,C More HD
Serier,0.2567149287794668,MDR
Musik,0.9999752022340795,Nick Music
Dokumentar,0.7659108860399199,Fynboen
Nyheder & Aktualitet,0.27819985576811884,TVE Internacional
Dokumentar,0.8765082762124929,CBS Reality
Dokumentar,1.0,Lokalkanalen
Film,0.9582377099271685,C More HD
Børn & Ungdom,0.9816402483905412,KI.KA
Musik,1.0,MTV Club
Dokumentar,0.5844246341639234,Kanal Nord
Nyheder & Aktualitet,0.35108994749327405,Kanal Nord
Dokumentar,0.9885052778647215,Hovedstaden
Sport,0.9835825505876908,DR Event 2
Musik,1.0,MTV Hits
Musik,0.973207434358352,MTV Live
Dokumentar,0.5341165413533835,Al-Jazeera
Nyheder & Aktualitet,0.3425751879699248,Al-Jazeera
Nyheder & Aktualitet,1.0,ESC/ESC1
Musik,0.9393423948420694,Mezzo
Kultur & Historie,0.4779889343276401,Travel Channel
Natur & Videnskab,0.3969208563868174,Travel Channel
Nyheder & Aktualitet,0.8764787314372011,Euronews
